covariate,n_missing,pct_missing
d2_lactate,1364,71.7
pao2_fio2_d2_mean,1269,66.7
d2_pplat,826,43.4
sofa_respiration,717,37.7
sofa_cardiovascular,717,37.7
sofa_cns,717,37.7
sofa_renal,717,37.7
d2_wbc,76,4.0
d2_plt,74,3.9
d2_cr,59,3.1
d2_pip,27,1.4
d2_tv,20,1.1
weight_num,13,0.7
ards_flag,0,0.0
sepsis3_flag,0,0.0
age_num,0,0.0
male,0,0.0
d2_peep,0,0.0
d2_fio2,0,0.0
sofa_total,0,0.0
crrt_flag,0,0.0
