strategy,variable,t_label,t_hours,n,median,q1,q3,mean
early,Norepinephrine,"Day 1
18:00",18,68,0.0809780140116345,0.0478504989587236,0.1502550985605921,0.12217199395415847
early,Norepinephrine,"Day 2
00:00",24,56,0.0649932571832323,0.030039938337722526,0.1998522675421554,0.12244448868971496
early,Norepinephrine,"Day 2
06:00",30,49,0.0992155692074447,0.030006038286956,0.150127278175205,0.12158089695582686
early,Norepinephrine,"Day 2
12:00",36,46,0.08004104165593155,0.039988908611121504,0.13717794172407594,0.11043170837618396
early,Norepinephrine,"Day 2
18:00",42,36,0.07934128370834509,0.040017876926867674,0.12001780123682687,0.11784098155153006
early,P/F ratio,"Day 1
00:00",0,448,234.0,136.0,348.0,265.0899106355505
early,P/F ratio,"Day 1
06:00",6,347,238.33333333333337,162.0,332.5,261.4768423219432
early,P/F ratio,"Day 1
12:00",12,213,240.0,150.0,330.0,255.36798210534747
early,P/F ratio,"Day 1
18:00",18,165,232.5,143.33333333333334,322.5,240.8804713804714
early,P/F ratio,"Day 2
00:00",24,125,222.5,157.5,300.0,231.46953246753247
early,P/F ratio,"Day 2
06:00",30,108,213.0,162.5595238095238,318.125,243.69899285250162
early,P/F ratio,"Day 2
12:00",36,90,222.0,150.35714285714286,301.25,238.13755221386802
early,P/F ratio,"Day 2
18:00",42,82,222.66666666666669,157.625,283.75,227.00682346109176
early,RASS,"Day 1
00:00",0,664,-1.0,-4.0,0.0,-1.7379518072289157
early,RASS,"Day 1
06:00",6,567,-1.0,-3.0,0.0,-1.3844797178130512
early,RASS,"Day 1
12:00",12,600,0.0,-2.0,0.0,-0.8883333333333333
early,RASS,"Day 1
18:00",18,554,0.0,-1.0,0.0,-0.6660649819494585
early,RASS,"Day 2
00:00",24,576,0.0,-1.0,0.0,-0.5659722222222222
early,RASS,"Day 2
06:00",30,534,0.0,-1.0,0.0,-0.50187265917603
early,RASS,"Day 2
12:00",36,541,0.0,-1.0,0.0,-0.4510166358595194
early,RASS,"Day 2
18:00",42,476,0.0,-1.0,0.0,-0.3802521008403361
early,RR,"Day 1
00:00",0,776,18.0,15.0,22.0,18.882731958762886
early,RR,"Day 1
06:00",6,775,18.0,15.0,22.0,18.829677419354837
early,RR,"Day 1
12:00",12,776,18.0,15.0,23.0,19.311855670103093
early,RR,"Day 1
18:00",18,775,19.0,15.5,23.0,19.301935483870967
early,RR,"Day 2
00:00",24,776,19.0,16.0,24.0,19.79381443298969
early,RR,"Day 2
06:00",30,770,19.0,16.0,22.0,19.542857142857144
early,RR,"Day 2
12:00",36,728,20.0,16.0,23.0,19.7239010989011
early,RR,"Day 2
18:00",42,674,19.0,16.0,23.0,19.793768545994066
early,SpO2,"Day 1
00:00",0,776,98.0,95.0,100.0,97.17268041237114
early,SpO2,"Day 1
06:00",6,774,98.0,95.0,100.0,97.19121447028424
early,SpO2,"Day 1
12:00",12,776,97.0,95.0,99.0,96.8582474226804
early,SpO2,"Day 1
18:00",18,775,97.0,95.0,99.0,1143.116129032258
early,SpO2,"Day 2
00:00",24,776,97.0,95.0,99.0,96.35695876288659
early,SpO2,"Day 2
06:00",30,769,97.0,95.0,98.0,96.41352405721716
early,SpO2,"Day 2
12:00",36,728,96.0,95.0,98.0,96.33653846153847
early,SpO2,"Day 2
18:00",42,673,96.0,94.0,98.0,96.09509658246657
